#Device,LCX200;;;;;;;;;
#Device Name,RS-LCX200-01051.local;;;;;;;;;
#Format,LOG;;;;;;;;;
#Date,2025-11-05;;;;;;;;;
#Version,02.047 00EBC18228;;;;;;;;;
#Serial No.,101051;;;;;;;;;
#Logging Interval[s],0.0;;;;;;;;;
#Mode,Unlimited;;;;;;;;;
#Start Time,15:51:45;;;;;;;;;
#Stop Time,15:54:11;;;;;;;;;
#Actual Count,0000000201;;;;;;;;;
Timestamp;Ls[H];Q;Z[Ohm];Θd[°];IBias[A];Bias Enable;Ext. Voltage Enable;Voltage[V];Frequency[Hz]
15:51:48.960;1,91E+01;#NAME?;3,94E+05;7,00E+03;0.00000E+00;FALSE;FALSE;2,00E+05;4,00E+05
15:51:49.759;3,91E-01;#NAME?;3,94E+05;1,80E+04;0.00000E+00;FALSE;FALSE;2,00E+05;5,04E+07
15:51:50.479;3,44E-01;#NAME?;3,94E+05;3,16E+04;0.00000E+00;FALSE;FALSE;2,00E+05;1,00E+08
15:51:51.193;3,68E-01;#NAME?;3,94E+05;5,06E+04;0.00000E+00;FALSE;FALSE;2,00E+05;1,50E+08
15:51:51.913;3,68E-01;1,18E+03;3,94E+05;6,75E+04;0.00000E+00;FALSE;FALSE;2,00E+05;2,00E+08
15:51:52.627;3,69E-01;1,47E+03;3,94E+05;8,43E+04;0.00000E+00;FALSE;FALSE;2,00E+05;2,50E+08
15:51:53.344;3,68E-01;1,76E+03;3,94E+05;1,01E+05;0.00000E+00;FALSE;FALSE;2,00E+05;3,00E+08
15:51:54.055;3,69E-01;2,06E+03;3,94E+05;1,18E+05;0.00000E+00;FALSE;FALSE;2,00E+05;3,50E+08
15:51:54.765;3,70E-01;2,36E+03;3,94E+05;1,35E+05;0.00000E+00;FALSE;FALSE;2,00E+05;4,00E+08
15:51:55.480;3,70E-01;2,66E+03;3,94E+05;1,52E+05;0.00000E+00;FALSE;FALSE;2,00E+05;4,50E+08
15:51:56.192;3,68E-01;2,94E+03;3,94E+05;1,68E+05;0.00000E+00;FALSE;FALSE;2,00E+05;5,00E+08
15:51:56.904;3,68E-01;3,23E+03;3,94E+05;1,85E+05;0.00000E+00;FALSE;FALSE;2,00E+05;5,50E+08
15:51:57.619;3,69E-01;3,53E+03;3,94E+05;2,02E+05;0.00000E+00;FALSE;FALSE;2,00E+05;6,00E+08
15:51:58.333;3,68E-01;3,82E+03;3,94E+05;2,19E+05;0.00000E+00;FALSE;FALSE;2,00E+05;6,50E+08
15:51:59.049;3,68E-01;4,11E+03;3,94E+05;2,36E+05;0.00000E+00;FALSE;FALSE;2,00E+05;7,00E+08
